Target,Model,Best_CV_RMSE,Best_Params
A - Waktu Respons,MLP,21.2172,"{'mlp__learning_rate_init': 0.01, 'mlp__hidden_layer_sizes': (128, 64), 'mlp__alpha': 0.001, 'mlp__activation': 'tanh'}"
B - Lama Rawat,MLP,1.4148,"{'mlp__learning_rate_init': 0.005, 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__alpha': 0.001, 'mlp__activation': 'tanh'}"
A - Waktu Respons,XGBoost,21.0801,"{'subsample': 0.7, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6}"
B - Lama Rawat,XGBoost,1.3584,"{'subsample': 0.7, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}"
