fold_index,MLP_RMSE,XGBoost_RMSE,MLP_R2,XGBoost_R2
0,1.6180612984718576,1.4903064733662934,-0.606464601635454,-0.3628008487737415
1,1.5629632525004509,1.4067238631632923,-0.4921017141276196,-0.20870022862372517
2,1.6429459849997756,1.7019201408300595,-0.23455483804276422,-0.3247751424915033
3,1.5560722716003215,1.46784104345005,-0.6539126431451581,-0.47167222584946833
4,1.3888441408289227,1.658391928587423,-0.11816704106969667,-0.5943145725072789
5,1.6529598395890086,1.445604127943733,-0.5911403844210974,-0.21697779425131758
6,1.4820595030833392,1.4879849447254114,-0.11969276446222965,-0.1286639794615052
7,1.4621774129603333,1.5443086980502128,-0.15532318253554123,-0.28875861462996033
8,1.47756128413494,1.5215488896639573,-0.5185565580812057,-0.6103185236249138
9,1.667476208991811,1.5227806073053076,-0.5376213680462782,-0.2823447200974376
10,1.4356116955426823,1.4617163700430058,-0.037239472561154896,-0.07530405024923614
11,1.682449118820709,1.6033133726416184,-0.8255892912691674,-0.6578912187863208
12,1.77077478460102,1.409502406403692,-0.8082570968172773,-0.14568483189875692
13,1.6267444482155626,1.660460071752856,-0.26697064332513554,-0.3200329111026827
14,1.4188132788719936,1.3426581655174974,-0.5908986532027607,-0.4246984115695238
15,1.4631197669805915,1.5528483035787355,-0.14285406452542282,-0.28732761504493265
16,1.6446467188119518,1.4667263178093333,-0.5418233939291994,-0.22627409651458152
17,1.4330384113955201,1.557615750293079,-0.11677667167965122,-0.31938435672104903
18,1.5744820682786838,1.3238972583926827,-0.3793466862702135,0.02477109754102258
19,1.405616767231519,1.4695938570479892,-0.2947555818978136,-0.41530027049830154
20,1.4337764385149374,1.5590522850986537,-0.12803531933663237,-0.33377072104589733
21,1.4966491403525588,1.497224246992545,-0.3329939632883048,-0.3340186001911669
22,1.5067252568351293,1.488799605786961,-0.42342898082815417,-0.38976111919615786
23,1.6102451978943493,1.5967567067440522,-0.2222530296449845,-0.20186197510294712
24,1.5670788248604048,1.5383415357652195,-0.6078180055539142,-0.5493899549808445
25,1.4921409790638362,1.5682023036947934,-0.31326629129581374,-0.45056520803723155
26,1.0997368716871343,0.9379541709635183,-0.34506610091337264,0.02157105261355796
27,1.6949651430406798,1.5634786449689853,-0.29006801443951735,-0.09767803112209816
28,1.4504911265093514,1.6288845420487859,-0.05008771728965855,-0.3242684423276774
29,1.811307383478058,1.6481475405475368,-0.8806562949128773,-0.5571028174480224
30,1.4766788627331509,1.3631858638964756,-0.6384381932409715,-0.39626577897084303
31,1.5286560175515655,1.2570761337734933,-0.3690869103858798,0.074162771402419
32,1.8265009886629036,1.624036369652481,-0.7146925686608576,-0.35561992699116507
33,1.3640467418508446,1.3765551251911572,-0.4487704133681756,-0.4754628484319907
34,1.7409734759581486,1.7638343936697778,-0.265851640044116,-0.2993139852446052
35,1.564528963740326,1.6313537932533717,-0.17260393059330803,-0.27491269237274363
36,1.4439942326749284,1.2893617321562665,-0.482837371956228,-0.18225771945941793
37,1.5815927652758917,1.4884743779072611,-0.3680044324839462,-0.21166033670229134
38,1.354729836282546,1.4817241608968614,-0.3662981156420433,-0.6344619057088621
39,1.580338516857533,1.5698050000522106,-0.45762034136349405,-0.43825398572670005
40,1.6478702724575305,1.4884242868912618,-0.3823166538463343,-0.12775561418674175
41,1.2837267213994823,1.173670012649552,-0.26925804526142816,-0.06095454871069905
42,1.318822288933232,1.5549648125888587,-0.00856850841456902,-0.40208382267164255
43,1.6239572698984344,1.5641208678124172,-0.3526334252982146,-0.2547914191939049
44,1.744164318477055,1.4732244127091996,-0.7517799265188578,-0.24980588157645234
45,1.5533926404476122,1.6253011869361276,-0.24849169605029786,-0.3667556461067871
46,1.2616396354618735,1.5410045841828341,-0.1678269125570735,-0.7422709368886404
47,1.5597856929814493,1.512798029771179,-0.23998650590196857,-0.1664039842720213
48,1.4625067389871458,1.4753561657744763,-0.28583628457175925,-0.30852997910617197
49,1.49357900893416,1.5959944728981459,-0.19282200644560477,-0.3620153628262315
